Number,Group,Name,Instructor,Year,Semester,Method,School,Faculty,Building,Room,Day,Hour
0321-1840,04,מבוא מתמטי לפיזיקאים 2 למסלול משולב,מר אוטמזגין נדב יוסף,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,103,ב,17:00-19:00
0321-1840,90,מבוא מתמטי לפיזיקאים 2 למסלול משולב,,2017,ב',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-1840,91,מבוא מתמטי לפיזיקאים 2 למסלול משולב,,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,,,,
0321-2102,01,גלים אור ואופטיקה,"פרופ' סוכובסקי חיים
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אורנשטיין
אודיטו. מלמד","103
006","ד
ה","08:00-09:00
14:00-16:00"
0321-2102,02,גלים אור ואופטיקה,מר לירם ליאור,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ד,09:00-10:00
0321-2102,03,גלים אור ואופטיקה,מר לירם ליאור,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ב,17:00-18:00
0321-2103,01,קוונטים 1,"פרופ' לוינסון עמיר
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"קפלון
קפלון","118
118","ב
ה","10:00-11:00
09:00-11:00"
0321-2103,02,קוונטים 1,מר קורנפלד אייל,2017,א',תרגיל,מדעים מדויקים,פיזיקה,קפלון,118,ג,10:00-12:00
0321-2103,04,קוונטים 1,"פרופ' סבטיצקי בנימין
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטו. מלמד
אודיטור' דאך","006
005","ב
ה","11:00-12:00
14:00-16:00"
0321-2103,05,קוונטים 1,מר בן ישראל רועי בנימין,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ד,17:00-19:00
0321-2103,06,קוונטים 1,מר בן ישראל רועי בנימין,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ב,09:00-11:00
0321-2105,01,מכניקה אנליטית,"פרופ' ליפשיץ רון
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
אודיטור' לב","009
009","ג
ד","12:00-13:00
15:00-17:00"
0321-2105,02,מכניקה אנליטית,מר אושרי עז,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ד,14:00-15:00
0321-2105,03,מכניקה אנליטית,מר אושרי עז,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ג,18:00-19:00
0321-2105,04,מכניקה אנליטית,מר אושרי עז,2017,א',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ג,13:00-14:00
0321-2111,01,פיזיקה תרמית,"פרופ' דגן יורם
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' דאך
אודיטור' דאך","005
005","א
ב","10:00-12:00
12:00-13:00"
0321-2111,02,פיזיקה תרמית,מר אדר רם מיכאל,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ב,08:00-10:00
0321-2111,03,פיזיקה תרמית,מר אדר רם מיכאל,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ה,08:00-10:00
0321-2117,01,שיטות נומריות בפיזיקה,פרופ' בן חמו יאן,2017,א',שיעור,מדעים מדויקים,פיזיקה,שרמן,003,א,18:00-20:00
0321-2117,02,שיטות נומריות בפיזיקה,"ד""ר מיכאלי ליאור",2017,א',תרגיל,מדעים מדויקים,פיזיקה,כיתות דן דוד,004,ג,08:00-10:00
0321-2117,03,שיטות נומריות בפיזיקה,"ד""ר מיכאלי ליאור",2017,א',תרגיל,מדעים מדויקים,פיזיקה,כיתות דן דוד,004,ג,10:00-12:00
0321-2121,01,מעבדה בפיזיקה ב 1,פרופ' בק-סבטיצקי שרה חיה,2017,א',מעבדה,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,501,ה,08:00-12:00
0321-2121,02,מעבדה בפיזיקה ב 1,פרופ' בק-סבטיצקי שרה חיה,2017,א',מעבדה,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,501,ב,13:00-17:00
0321-2121,03,מעבדה בפיזיקה ב 1,פרופ' בק-סבטיצקי שרה חיה,2017,א',מעבדה,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,501,ג,13:00-17:00
0321-2121,04,מעבדה בפיזיקה ב 1,פרופ' בק-סבטיצקי שרה חיה,2017,א',מעבדה,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,501,א,08:00-12:00
0321-2122,01,מעבדה בפיזיקה ב 2,פרופ' בק-סבטיצקי שרה חיה,2017,ב',מעבדה,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,501,ג,08:00-12:00
